Unnamed: 0,Unnamed: 1,Unnamed: 2,Date,Type de données,Energie journalière (MWh)
,,,,,
,,,01/01/2017,Définitives,1652084.0
,,,02/01/2017,Définitives,1768332.0
,,,03/01/2017,Définitives,1886120.0
,,,04/01/2017,Définitives,1923775.0
,,,05/01/2017,Définitives,1887470.0
,,,06/01/2017,Définitives,1961544.0
,,,07/01/2017,Définitives,1879590.0
,,,08/01/2017,Définitives,1698937.0
,,,09/01/2017,Définitives,1807199.0
,,,10/01/2017,Définitives,1803164.0
,,,11/01/2017,Définitives,1765800.0
,,,12/01/2017,Définitives,1733264.0
,,,13/01/2017,Définitives,1796084.0
,,,14/01/2017,Définitives,1707820.0
,,,15/01/2017,Définitives,1667470.0
,,,16/01/2017,Définitives,1835692.0
,,,17/01/2017,Définitives,1975394.0
,,,18/01/2017,Définitives,2063860.0
,,,19/01/2017,Définitives,2080679.0
,,,20/01/2017,Définitives,2056026.0
,,,21/01/2017,Définitives,1901229.0
,,,22/01/2017,Définitives,1820337.0
,,,23/01/2017,Définitives,1963596.0
,,,24/01/2017,Définitives,2008841.0
,,,25/01/2017,Définitives,2045089.0
,,,26/01/2017,Définitives,2037997.0
,,,27/01/2017,Définitives,1914378.0
,,,28/01/2017,Définitives,1637799.0
,,,29/01/2017,Définitives,1560208.0
,,,30/01/2017,Définitives,1685186.0
,,,31/01/2017,Définitives,1615663.0
,,,,,
,,,01/02/2017,Définitives,1587797.0
,,,02/02/2017,Définitives,1581535.0
,,,03/02/2017,Définitives,1597002.0
,,,04/02/2017,Définitives,1495134.0
,,,05/02/2017,Définitives,1459702.0
,,,06/02/2017,Définitives,1668140.0
,,,07/02/2017,Définitives,1661461.0
,,,08/02/2017,Définitives,1700957.0
,,,09/02/2017,Définitives,1761520.0
,,,10/02/2017,Définitives,1778363.0
,,,11/02/2017,Définitives,1678259.0
,,,12/02/2017,Définitives,1561510.0
,,,13/02/2017,Définitives,1635667.0
,,,14/02/2017,Définitives,1604481.0
,,,15/02/2017,Définitives,1533816.0
,,,16/02/2017,Définitives,1526336.0
,,,17/02/2017,Définitives,1527219.0
,,,18/02/2017,Définitives,1417728.0
,,,19/02/2017,Définitives,1386442.0
,,,20/02/2017,Définitives,1531984.0
,,,21/02/2017,Définitives,1505954.0
,,,22/02/2017,Définitives,1496856.0
,,,23/02/2017,Définitives,1514725.0
,,,24/02/2017,Définitives,1528219.0
,,,25/02/2017,Définitives,1447953.0
,,,26/02/2017,Définitives,1350655.0
,,,27/02/2017,Définitives,1520723.0
,,,28/02/2017,Définitives,1609253.0
,,,,,
,,,01/03/2017,Définitives,1621417.0
,,,02/03/2017,Définitives,1537012.0
,,,03/03/2017,Définitives,1492930.0
,,,04/03/2017,Définitives,1380879.0
,,,05/03/2017,Définitives,1390427.0
,,,06/03/2017,Définitives,1567182.0
,,,07/03/2017,Définitives,1596531.0
,,,08/03/2017,Définitives,1569335.0
,,,09/03/2017,Définitives,1462892.0
,,,10/03/2017,Définitives,1403946.0
