Date,high Temp. (°C),avg Temp. (°C),low Temp. (°C),high Dew Point (°C),avg Dew Point (°C),low Dew Point (°C),high Humidity (%),avg Humidity (%),low Humidity (%),high Sea Level Press. (hPa),avg Sea Level Press. (hPa),low Sea Level Press. (hPa),high Visibility (km),avg Visibility (km),low Visibility (km),high Wind (km/h),avg Wind (km/h),high Gust Wind (km/h),sum Precip. (mm),Events
1/1/2017,0,-3,-5,-1,-3,-6,100,94,86,1030,1023,1020,7,3,0,10,6,-,0,Fog
1/2/2017,2,0,-2,1,1,-1,100,95,88,1030,1025,1022,14,4,0,16,6,-,2,"Fog , Rain , Snow"
1/3/2017,1,0,-1,1,0,-1,100,95,88,1032,1030,1028,7,2,0,14,6,-,0,Fog
1/4/2017,6,2,-1,4,1,-1,100,87,71,1028,1025,1023,19,9,3,23,14,-,2,Rain
1/5/2017,7,3,1,2,0,-2,93,79,59,1038,1032,1027,19,12,10,14,11,-,0,
1/6/2017,1,-2,-6,-3,-6,-9,86,68,41,1041,1038,1037,19,17,10,11,5,-,0,
1/7/2017,1,-3,-7,1,-4,-9,100,84,57,1039,1035,1032,19,6,0,14,5,-,0,"Fog , Rain"
1/8/2017,7,3,0,6,4,1,100,93,80,1034,1032,1032,10,5,0,10,5,-,0,"Fog , Rain"
1/9/2017,7,6,4,7,5,3,100,95,86,1032,1025,1014,10,4,0,19,8,-,1,"Fog , Rain"
1/10/2017,8,4,2,7,3,1,100,87,71,1016,1013,1011,31,11,2,19,11,-,3,Rain
1/11/2017,10,7,4,9,5,3,100,87,66,1019,1014,1012,26,10,3,26,11,-,1,Rain
1/12/2017,9,7,4,7,3,0,93,79,60,1020,1010,993,26,11,8,55,18,90,4,Rain
1/13/2017,6,3,1,1,0,-2,93,78,47,1015,1009,1001,31,14,8,34,24,50,1,"Rain , Snow"
1/14/2017,4,1,-1,2,-1,-3,93,82,64,1023,1020,1015,31,15,6,23,13,-,1,"Rain , Snow"
1/15/2017,4,1,-2,1,-1,-3,100,90,76,1026,1023,1021,26,9,2,21,8,-,3,"Rain , Snow"
1/16/2017,3,1,-1,1,-1,-3,100,85,68,1031,1026,1021,18,9,1,14,10,-,0,Rain
1/17/2017,0,-2,-4,-2,-5,-7,93,79,57,1036,1033,1030,14,8,5,23,13,-,0,
1/18/2017,1,-2,-4,-6,-7,-8,80,67,44,1036,1034,1033,26,16,10,26,19,-,0,
1/19/2017,0,-2,-5,-6,-8,-9,80,66,45,1034,1033,1032,19,15,10,21,14,-,0,
1/20/2017,1,-2,-6,-6,-7,-9,80,67,48,1033,1030,1028,18,12,8,19,10,-,0,
1/21/2017,2,-2,-7,-4,-7,-10,86,75,51,1030,1027,1026,8,7,5,6,3,-,0,
1/22/2017,5,-1,-6,-3,-6,-8,93,70,33,1028,1026,1025,11,7,3,13,5,-,0,
1/23/2017,0,-2,-3,-2,-4,-6,93,82,69,1029,1027,1026,6,4,1,14,8,-,0,
1/24/2017,2,-1,-3,-1,-2,-4,93,89,76,1030,1028,1027,5,3,0,10,5,-,0,"Fog , Snow"
1/25/2017,-1,-2,-4,-1,-4,-7,93,78,65,1030,1028,1026,10,8,2,19,11,-,0,Snow
1/26/2017,2,-2,-6,-5,-7,-9,80,66,44,1027,1021,1016,8,7,3,16,11,-,0,
1/27/2017,9,3,-2,3,-1,-6,87,68,47,1017,1013,1012,19,9,6,21,8,-,0,Rain
1/28/2017,9,7,4,5,3,1,87,70,49,1020,1015,1012,31,15,10,26,13,-,0,Rain
1/29/2017,7,4,2,4,3,1,100,88,74,1022,1019,1015,19,10,0,19,11,-,1,"Fog , Rain"
1/30/2017,11,8,6,10,7,3,100,87,63,1015,1013,1012,26,9,2,23,16,-,2,Rain
1/31/2017,12,11,9,11,10,9,100,93,82,1015,1014,1013,11,6,0,10,6,-,1,"Fog , Rain"
2/1/2017,12,10,8,10,8,7,100,86,68,1015,1012,1010,27,8,0,21,10,-,0,"Fog , Rain"
2/2/2017,13,10,7,9,7,5,93,77,55,1011,1005,1002,31,13,10,19,10,-,0,Rain
2/3/2017,11,8,6,7,5,3,93,78,52,1005,1002,996,26,13,4,37,19,63,1,Rain
2/4/2017,7,6,4,6,4,2,93,85,74,1004,998,991,31,13,3,37,14,50,6,Rain
2/5/2017,11,8,4,6,4,2,100,82,52,1008,1000,995,29,13,5,23,11,-,1,Rain
2/6/2017,9,7,4,4,3,2,93,74,53,1020,1017,1009,19,11,6,29,18,-,1,Rain
2/7/2017,11,7,3,8,3,0,100,79,43,1018,1015,1014,26,11,2,27,13,-,1,Rain
2/8/2017,8,4,1,4,2,0,96,79,54,1027,1022,1018,31,13,5,19,10,-,0,
2/9/2017,6,4,2,2,0,-2,93,77,55,1027,1024,1020,14,8,3,19,14,-,0,
2/10/2017,3,1,-1,-1,-3,-4,87,74,56,1021,1019,1018,13,8,3,19,13,-,0,"Rain , Snow"
2/11/2017,1,0,-1,-2,-3,-5,81,75,57,1021,1019,1018,6,4,2,16,8,-,0,"Rain , Snow"
2/12/2017,8,3,-2,5,1,-3,93,81,63,1020,1019,1017,31,6,2,24,10,-,1,Rain
2/13/2017,9,6,2,3,1,-2,81,68,48,1021,1019,1017,19,13,10,27,18,-,0,
2/14/2017,13,8,3,6,3,-1,81,71,51,1029,1024,1019,26,10,6,19,10,-,1,Rain
2/15/2017,17,11,5,8,6,3,87,69,41,1033,1031,1028,26,14,10,21,6,-,0,
2/16/2017,12,9,6,9,7,5,100,89,75,1033,1031,1029,14,8,3,10,3,-,2,"Fog , Rain"
2/17/2017,12,8,2,7,4,1,100,84,48,1031,1029,1028,18,6,0,10,5,-,0,Fog
2/18/2017,11,6,0,6,2,-1,100,85,43,1029,1026,1024,19,5,0,11,3,-,0,Fog
2/19/2017,12,4,-2,5,2,-3,100,83,52,1027,1025,1024,18,7,0,19,5,-,0,Fog
2/20/2017,12,9,6,10,7,3,94,83,72,1026,1023,1021,18,10,2,19,10,-,0,Rain
2/21/2017,12,11,10,10,8,7,94,83,72,1023,1021,1020,26,12,10,23,14,-,0,Rain
2/22/2017,12,11,10,8,7,6,82,72,57,1020,1017,1014,31,15,10,32,18,-,0,
2/23/2017,12,10,7,8,4,1,87,69,41,1015,1008,1003,31,17,8,39,23,60,0,Rain
2/24/2017,9,4,1,2,-1,-4,87,62,31,1024,1016,1010,31,17,10,27,16,-,0,Rain
2/25/2017,11,4,-3,1,-1,-4,93,65,33,1024,1021,1017,31,23,11,23,8,-,0,
2/26/2017,12,9,5,8,4,-1,82,70,48,1017,1014,1011,26,16,10,23,14,-,0,
2/27/2017,12,9,4,8,5,1,87,70,55,1011,1001,994,26,13,3,40,26,72,9,"Rain , Thunderstorm"
2/28/2017,9,7,4,4,2,-1,93,73,46,1002,995,991,31,14,10,34,24,47,2,Rain
3/1/2017,12,8,5,10,6,2,94,83,68,1007,1004,1001,31,10,3,32,23,-,5,Rain
3/2/2017,12,8,4,4,2,1,81,63,35,1018,1015,1007,31,16,10,26,19,-,0,
3/3/2017,15,10,6,7,4,1,76,62,43,1015,1003,995,31,22,10,21,8,-,0,Rain
3/4/2017,9,7,6,8,6,4,93,84,55,1000,994,991,26,11,4,23,11,-,12,Rain
3/5/2017,11,7,4,6,3,1,93,78,53,1004,1000,996,27,13,3,40,19,66,8,Rain
3/6/2017,8,6,3,4,3,1,93,79,53,1014,1006,999,26,12,6,32,21,45,16,"Rain , Snow"
3/7/2017,10,7,4,4,2,0,87,71,38,1022,1018,1014,31,14,10,21,14,-,0,Rain
3/8/2017,13,9,4,12,8,2,100,88,72,1022,1019,1018,26,10,2,32,14,-,1,Rain
3/9/2017,14,12,10,11,10,8,94,85,71,1027,1023,1021,31,14,0,23,16,-,0,"Fog , Rain"
3/10/2017,10,7,4,8,6,3,100,88,74,1029,1026,1023,19,7,0,13,6,-,0,Fog
3/11/2017,17,9,1,4,2,0,100,66,22,1024,1019,1015,31,19,10,11,3,-,0,Fog
3/12/2017,17,11,4,9,4,1,93,67,23,1018,1013,1012,26,17,9,21,6,39,0,
3/13/2017,15,11,7,7,6,4,87,70,44,1033,1026,1018,18,9,3,24,14,-,0,
3/14/2017,16,9,2,7,5,1,100,71,35,1035,1034,1033,26,13,9,19,10,27,0,
3/15/2017,15,12,8,8,7,5,87,69,48,1035,1032,1030,19,12,10,16,10,-,0,
3/16/2017,20,12,3,8,6,3,100,69,31,1030,1024,1019,19,11,0,11,3,-,0,Fog
3/17/2017,13,9,6,8,4,2,93,69,40,1022,1020,1018,31,14,3,21,10,-,1,
3/18/2017,14,10,6,10,7,2,88,77,57,1019,1016,1015,26,13,7,27,21,-,1,Rain
3/19/2017,14,12,11,10,8,7,94,76,57,1018,1016,1015,31,12,6,26,18,40,0,
3/20/2017,12,11,9,8,6,4,82,69,49,1015,1012,1010,31,13,10,29,14,-,0,
3/21/2017,11,8,6,8,3,-1,93,67,34,1015,1013,1010,31,15,10,23,14,39,0,Rain
3/22/2017,13,8,3,6,2,0,93,66,31,1015,1010,1008,31,17,10,27,11,-,0,Rain
3/23/2017,13,9,5,8,5,2,93,75,55,1017,1010,1007,26,14,2,23,10,-,1,Rain
3/24/2017,14,10,7,10,7,6,100,84,62,1026,1022,1018,16,8,2,26,8,-,4,Rain
3/25/2017,18,12,7,6,3,0,82,53,18,1026,1021,1016,19,15,10,40,21,-,0,
3/26/2017,17,11,5,7,3,-1,71,53,36,1021,1019,1018,31,20,10,16,11,-,0,
3/27/2017,18,11,5,6,4,2,87,57,28,1021,1020,1018,19,17,11,21,6,-,0,
3/28/2017,18,12,6,9,6,4,93,66,40,1026,1023,1019,26,15,10,24,6,-,0,
3/29/2017,20,13,6,8,6,4,87,61,32,1029,1026,1025,31,21,10,14,8,-,0,
3/30/2017,23,16,8,8,6,3,87,50,17,1026,1023,1017,31,31,31,21,5,-,0,
