Date,Time,Wind Generation
01/01/2014,1,1190.1
01/01/2014,2,1186.6
01/01/2014,3,1174.3
01/01/2014,4,1146.7
01/01/2014,5,1156.8
01/01/2014,6,1189.7
01/01/2014,7,1175.4
01/01/2014,8,1089.8
01/01/2014,9,976.5
01/01/2014,10,966.4
01/01/2014,11,918.8
01/01/2014,12,779.6
01/01/2014,13,762.7
01/01/2014,14,790.1
01/01/2014,15,747.6
01/01/2014,16,734.6
01/01/2014,17,773.7
01/01/2014,18,927.3
01/01/2014,19,1115.3
01/01/2014,20,1236
01/01/2014,21,1357
01/01/2014,22,1481.5
01/01/2014,23,1615.7
01/01/2014,24,1779.2
02/01/2014,1,1903.9
02/01/2014,2,2017
02/01/2014,3,2175.6
02/01/2014,4,2214.8
02/01/2014,5,2204.7
02/01/2014,6,2187.8
02/01/2014,7,2157
02/01/2014,8,2110.8
02/01/2014,9,2076.8
02/01/2014,10,2007.6
02/01/2014,11,1913.3
02/01/2014,12,1785.4
02/01/2014,13,1687.6
02/01/2014,14,1535
02/01/2014,15,1329.5
02/01/2014,16,1161.4
02/01/2014,17,1035.6
02/01/2014,18,970.5
02/01/2014,19,874.6
02/01/2014,20,837.4
02/01/2014,21,839.8
02/01/2014,22,766.3
02/01/2014,23,704.8
02/01/2014,24,726.7
03/01/2014,1,787.4
03/01/2014,2,778.1
03/01/2014,3,732.2
03/01/2014,4,771.4
03/01/2014,5,827
03/01/2014,6,868.8
03/01/2014,7,1031.1
03/01/2014,8,1200.2
03/01/2014,9,1397
03/01/2014,10,1686.1
03/01/2014,11,1937.1
03/01/2014,12,2083.1
03/01/2014,13,2202.7
03/01/2014,14,2282
03/01/2014,15,2300.6
03/01/2014,16,2256.1
03/01/2014,17,2214.8
03/01/2014,18,2227.9
03/01/2014,19,2148.6
03/01/2014,20,1813.5
03/01/2014,21,1584.8
03/01/2014,22,1535.8
03/01/2014,23,1647
03/01/2014,24,1818.2
04/01/2014,1,1912.9
04/01/2014,2,2045.9
04/01/2014,3,2160.5
04/01/2014,4,2075.7
04/01/2014,5,2160.8
04/01/2014,6,2275.2
04/01/2014,7,2365.8
04/01/2014,8,2298.7
04/01/2014,9,2199.6
04/01/2014,10,2107.6
04/01/2014,11,1869
04/01/2014,12,1665
04/01/2014,13,1508.9
04/01/2014,14,1213.2
04/01/2014,15,838.2
04/01/2014,16,771.1
04/01/2014,17,877.3
04/01/2014,18,1071.1
04/01/2014,19,1241
04/01/2014,20,1298.7
